"ID","DIVISION_NAME","LOCATION_DESCRIPTION","TYPE","long","lat","OBJECT","nn"
"TABL332","PHILLIP","PHILLIP TOWN CENTRE","TIMBER",149.086739513564,-35.3448043085043,"Table",1
"TABL334","LYONS","SWAN PLACE - PEDESTRIAN PARKLAND","TIMBER",149.081370851584,-35.347755951549,"Table",1
"TABL340","ISAACS","YAMBA DRIVE - PEDESTRIAN PARKLAND","TIMBER",149.111418877094,-35.3703736899868,"Table",1
"TABL341","ISAACS","YAMBA DRIVE - PEDESTRIAN PARKLAND","TIMBER",149.111104283897,-35.3705181545517,"Table",1
"TABL342","HUGHES","GROOM STREET - PEDESTRIAN PARKLAND","CONCRETE",149.089020167398,-35.3328084006231,"Table",1
"TABL95","CITY","RUDD STREET","METAL",149.12700027664,-35.2767462892006,"Table",1
"TABL96","CITY","RUDD STREET","METAL",149.126929646258,-35.2767643831646,"Table",1
"TABL103","CITY","MARCUS CLARKE STREET","METAL",149.126882722505,-35.276088482772,"Table",1
"TABL104","CITY","MARCUS CLARKE STREET","METAL",149.126891051733,-35.2760434121006,"Table",1
"TABL343","HUGHES","GROOM STREET - PEDESTRIAN PARKLAND","CONCRETE",149.088914259563,-35.3329436579864,"Table",1
"TABL345","MONASH","GRIFFIN PLACE - PEDESTRIAN PARKLAND","TIMBER",149.083996846906,-35.4184119966209,"Table",1
"TABL346","MONASH","GRIFFIN PLACE - PEDESTRIAN PARKLAND","TIMBER",149.084001448281,-35.4185021179046,"Table",1
"TABL347","OXLEY","NEWMAN-MORRIS CIRCUIT - NEIGHBOURHOOD PARK","TIMBER",149.07881491275,-35.4066088293829,"Table",1
"TABL348","OXLEY","NEWMAN-MORRIS CIRCUIT - NEIGHBOURHOOD PARK","TIMBER",149.078851792932,-35.4065817709041,"Table",1
"TABL349","KAMBAH","KAMBAH DISTRICT PARK","TIMBER",149.062270281242,-35.391791756889,"Table",1
"TABL350","KAMBAH","KAMBAH DISTRICT PARK","TIMBER",149.062156126392,-35.3918909439372,"Table",1
"TABL351","KAMBAH","KAMBAH DISTRICT PARK","TIMBER",149.062074121862,-35.3918188798887,"Table",1
"TABL352","KAMBAH","KAMBAH DISTRICT PARK","TIMBER",149.062056097234,-35.3920532113663,"Table",1
"TABL353","KAMBAH","KAMBAH DISTRICT PARK","TIMBER",149.061994928234,-35.3919811385564,"Table",1
"TABL506","ACTON","BLACK MOUNTAIN PENINSULA DISTRICT PARK","TIMBER",149.101338508174,-35.292241416663,"Table",1
"TABL500","DEAKIN","BEDFORD STREET - NEIGHBOURHOOD PARK","PLASTIC",149.111947652106,-35.3181433459625,"Table",1
