stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
1405,,Newman-Morris Cct opp 2nd Collocott Cr,-35.413535,149.076332,,,0,0
1406,,Newman-Morris Cct before 2nd Cuthbertson Cr,-35.412838,149.079376,,,0,0
1407,,Newman-Morris Cct before 2nd Maconochie Cr,-35.413294,149.078626,,,0,0
1408,,Lakeside Leisure Centre Anketell St,-35.41215,149.063186,,,0,0
1409,,Learmonth Dr after Vansittart Cr,-35.401969,149.060866,,,0,0
1410,,Learmonth Dr opp Vansittart Cr,-35.402084,149.060775,,,0,0
1411,,Vansittart Cr after 1st Stieglitz Cct,-35.400156,149.062603,,,0,0
1412,,Vansittart Cr after 1st Ragless Cct,-35.400089,149.062464,,,0,0
1413,,Learmonth Dr after Athllon Dr,-35.403181,149.063357,,,0,0
1414,,Learmonth Dr before Athllon Dr,-35.403084,149.06352,,,0,0
1415,,Vansittart Cr opp Pinkerton Cct,-35.397225,149.064054,,,0,0
1416,,Vansittart Cr before Pinkerton Cct,-35.397462,149.064247,,,0,0
1417,,Tuggeranong Pkwy after Sulwood Dr,-35.373045,149.056882,,,0,0
1418,,Tuggeranong Pkwy before Sulwood Dr,-35.372604,149.057409,,,0,0
1435,,Clive Steele Av before 2nd Priddle St,-35.410718,149.100686,,,0,0
1436,,Clive Steele Av opp 1st Priddle St,-35.410892,149.100719,,,0,0
1437,,Clive Steele Av opp 2nd Brain St,-35.41236,149.100027,,,0,0
1438,,Clive Steele Av before 2nd Brain St,-35.412885,149.099366,,,0,0
1439,,Clive Steele Av before 2nd Fraenkel St,-35.414112,149.097043,,,0,0
1440,,Clive Steele Av before 2nd Coode St,-35.414441,149.09674,,,0,0
1441,,Monash Shops Cockcroft Av,-35.417059,149.098237,,,0,0
1442,,Cockcroft Av opp Monash Shops,-35.416742,149.098198,,,0,0
1443,,Cockcroft Av before Kneeshaw St,-35.419885,149.097304,,,0,0
1444,,Goodwin Aged Care Cockcroft Av,-35.419751,149.097043,,,0,0
1445,,Charleston St after 2nd William Hudson Cr,-35.416281,149.079178,,,0,0
1446,,Charleston St after Blakey Cl,-35.416263,149.07936,,,0,0
1447,,Charleston St before 1st William Hudson Cr,-35.418192,149.082438,,,0,0
1448,,Charleston St after Hallstrom Cct,-35.41809,149.082409,,,0,0
1449,,Clive Steele Av before 1st Balsillie Cr,-35.416677,149.086218,,,0,0
1450,,Clive Steele Av opp 2nd Balsillie Cr,-35.41661,149.086533,,,0,0
1451,,Clive Steele Av before 2nd Balsillie Cr,-35.416239,149.088005,,,0,0
1452,,Clive Steele Av before Harkness St,-35.416298,149.088358,,,0,0
1453,,Monash PS Corlette Cr,-35.41534,149.089569,,,0,0
1454,,Corlette Cr after Hebblewhite St,-35.414164,149.087577,,,0,0
1456,,Corlette Cr opp Monash PS,-35.414787,149.088975,,,0,0
1457,,Corlette Cr opp Hebblewhite St,-35.414229,149.087272,,,0,0
